raga,alap_min,artists,recs
Karaharapriya,24.675,2,2
Mōhanaṁ,18.86,2,2
Ṣanmukhapriya,17.704,2,2
Kāṁbhōji,16.954,1,1
Bhairavi,15.039,2,2
Harikāmbhōji,13.289,2,2
Tōḍi,12.781,3,3
Kāpi,12.334,1,1
Sāvēri,10.575,1,1
Kamās,10.572,2,2
Kumudakriyā,10.303,1,1
Simhēndra madhyamaṁ,10.059,1,1
Dhanyāsi,9.237,1,1
Kāmavardani/Pantuvarāḷi,7.895,1,1
Latāngi,7.647,1,1
Sārāmati,7.594,1,1
Bēgaḍa,7.428,2,2
Kēdāragauḷa,7.091,1,1
Rītigauḷa,6.506,2,2
Āhiri,6.001,1,1
Kalāvati,4.949,1,1
Sucaritra,4.001,1,1
Tanarūpi,3.958,1,1
Pāḍi,1.68,1,1
Sindhubhairavi,1.075,1,1
Tillāng,1.029,1,1
Śrī,1.022,1,1
Nāṭa,0.712,1,1
Kuntalavarāḷi,0.524,1,1
Kānaḍa,0.464,1,1
Gauḷa,0.303,1,1
Suraṭi,0.295,1,1
