raga,recs,artists
Rāgamālika,8,7
Tōḍi,7,7
Saurāṣtraṁ,7,5
Kamās,7,4
Behāg,5,4
Bhairavi,5,4
Mōhanaṁ,4,4
Rītigauḷa,4,4
Suraṭi,4,4
Kalyāṇi,4,3
Ṣanmukhapriya,4,3
Bēgaḍa,3,3
Harikāmbhōji,3,3
Jōnpuri,3,3
Sindhubhairavi,3,3
Sāvēri,3,3
Kānaḍa,3,2
Kāṁbhōji,3,2
Śankarābharaṇaṁ,3,2
Amṛtavarṣiṇi,2,2
Gauḷa,2,2
Hamīr kaḷyaṇi,2,2
Jaganmōhini,2,2
Kalgaḍa,2,2
Karaharapriya,2,2
Karṇāṭaka dēvagāndhāri,2,2
Kumudakriyā,2,2
Kuntalavarāḷi,2,2
Kēdāragauḷa,2,2
Lalita,2,2
Madhyamāvati,2,2
Maṇirangu,2,2
Mārgahindōḷaṁ,2,2
Nādanāmakriya,2,2
Nāṭa,2,2
Nīlāṁbari,2,2
Pāḍi,2,2
Pūrṇacandrika,2,2
Sahānā,2,2
Ābhōgi,2,2
Śrīranjani,2,2
Śuddadhanyāsi,2,2
Kāpi,2,1
Bahudāri,1,1
Bhūṣāvaḷi,1,1
Bāgēśrī,1,1
Bṛndāvana sāranga,1,1
Cakravākaṁ,1,1
Cittaranjani,1,1
Dhanaśrī,1,1
Dhanyāsi,1,1
Dvijāvanti,1,1
Dēvagāndhāri,1,1
Dēś,1,1
Gamakakriyā,1,1
Gaṁbhīra nāṭa,1,1
Hamsadhvani,1,1
Haṁsānandi,1,1
Hindōḷaṁ,1,1
Hussēnī,1,1
Janaranjani,1,1
Kalāvati,1,1
Kathanakutūhalaṁ,1,1
Kedāraṁ,1,1
Kāmavardani/Pantuvarāḷi,1,1
Lalita pancamaṁ,1,1
Latāngi,1,1
Mandāri,1,1
Mānḍu,1,1
Navrōj,1,1
Nāṭakapriya,1,1
Pahāḍi,1,1
Puṇṇāgavarāḷi,1,1
Pūrvīkaḷyāṇi,1,1
Ranjani,1,1
Rasikapriya,1,1
Sarasvatī manōhari,1,1
Sencuruṭṭi,1,1
Simhēndra madhyamaṁ,1,1
Sindhumandāri,1,1
Sucaritra,1,1
Sālaga bhairavi,1,1
Sāma,1,1
Sāranga,1,1
Sārāmati,1,1
Tanarūpi,1,1
Tillāng,1,1
Vakuḷābharaṇaṁ,1,1
Varāḷi,1,1
Vasanta,1,1
Vāgadīśvari,1,1
Yamuna kalyāṇi,1,1
Āhiri,1,1
Ānandabhairavi,1,1
Śrī,1,1
Śudda sāvēri,1,1
