resolution,fold,n_splits,bal_acc,macro_f1,corpus,pool,grouping
10,0,2,0.6731739005675176,0.4102672237793695,alapana,all4,recording
10,1,2,0.4904678008687512,0.47760428853537185,alapana,all4,recording
20,0,2,0.6901502752566582,0.4161150433799437,alapana,all4,recording
20,1,2,0.49071809576582737,0.475512170288767,alapana,all4,recording
50,0,2,0.6619550662103854,0.38597793897136,alapana,all4,recording
50,1,2,0.46803612307342357,0.4564441470691471,alapana,all4,recording
100,0,2,0.5949263502454992,0.29901233414714845,alapana,all4,recording
100,1,2,0.43743040585390514,0.4195700847287164,alapana,all4,recording
10,0,3,0.3858479563831303,0.3026807169888869,allsections,primary12,recording
10,1,3,0.3730751477089484,0.29676204609886353,allsections,primary12,recording
10,2,3,0.3896243089784847,0.3638824449372012,allsections,primary12,recording
20,0,3,0.40184569336605747,0.3193737938670857,allsections,primary12,recording
20,1,3,0.38018485239699845,0.29530088647512026,allsections,primary12,recording
20,2,3,0.39078542549902545,0.3683314532094643,allsections,primary12,recording
50,0,3,0.4239857317250557,0.33168405353672487,allsections,primary12,recording
50,1,3,0.3863597461321608,0.3103759195472215,allsections,primary12,recording
50,2,3,0.3966424357285439,0.37250335185136585,allsections,primary12,recording
100,0,3,0.3029017360376853,0.2500345628416302,allsections,primary12,recording
100,1,3,0.30394556518789856,0.25041662609828325,allsections,primary12,recording
100,2,3,0.3205619687901265,0.2977084763701786,allsections,primary12,recording
10,0,3,0.3583258910325396,0.24528928202312683,allsections,primary12,artist
10,1,3,0.3911892757930593,0.32875187601722156,allsections,primary12,artist
10,2,3,0.445784348636227,0.2989276608065929,allsections,primary12,artist
20,0,3,0.3715659867218091,0.25376268405013835,allsections,primary12,artist
20,1,3,0.40208519281167443,0.3371731501662465,allsections,primary12,artist
20,2,3,0.4505785668521436,0.3032039151075527,allsections,primary12,artist
50,0,3,0.3763037592227452,0.26088690683464244,allsections,primary12,artist
50,1,3,0.3866489904598054,0.3333558712152602,allsections,primary12,artist
50,2,3,0.49346702763049954,0.31533540503712004,allsections,primary12,artist
100,0,3,0.3204741091435381,0.21985922256283666,allsections,primary12,artist
100,1,3,0.32530880870240353,0.27060466574691827,allsections,primary12,artist
100,2,3,0.33121758724901773,0.24098122448679318,allsections,primary12,artist
10,0,3,0.34189372451271555,0.2766731720331436,allsections,primary12,composition_id
10,1,3,0.3922263507211016,0.3165059196265518,allsections,primary12,composition_id
10,2,3,0.41129962863932845,0.3729095423435545,allsections,primary12,composition_id
20,0,3,0.3570223497184344,0.2868398135339785,allsections,primary12,composition_id
20,1,3,0.39483555928758535,0.316236383794739,allsections,primary12,composition_id
20,2,3,0.420456488215194,0.38338418480248676,allsections,primary12,composition_id
50,0,3,0.3628271807720385,0.2947932010344484,allsections,primary12,composition_id
50,1,3,0.4030593156769339,0.3178478807666868,allsections,primary12,composition_id
50,2,3,0.4242232379484159,0.38942479859479157,allsections,primary12,composition_id
100,0,3,0.2684705697811533,0.23120483190544147,allsections,primary12,composition_id
100,1,3,0.33584264669906955,0.25076696909558155,allsections,primary12,composition_id
100,2,3,0.34299520857312477,0.3064830376442489,allsections,primary12,composition_id
10,0,2,0.12529889536147384,0.09779597326666213,allsections,secondary40,recording
10,1,2,0.13400958296498333,0.09876702418764405,allsections,secondary40,recording
20,0,2,0.13354221098138105,0.10384396542505034,allsections,secondary40,recording
20,1,2,0.14318809312801525,0.10688908539392958,allsections,secondary40,recording
50,0,2,0.1457224824573467,0.11855870545386511,allsections,secondary40,recording
50,1,2,0.14916565248392138,0.11371010592516737,allsections,secondary40,recording
100,0,2,0.10818433542605017,0.08473166360516879,allsections,secondary40,recording
100,1,2,0.12774965418120326,0.09041929312952725,allsections,secondary40,recording
