raga,recall_continuous,recall_semitone,drop
Suraṭi,0.44148936170212766,0.2712765957446808,0.17021276595744683
Sindhubhairavi,0.4647058823529412,0.3176470588235294,0.1470588235294118
Mōhanaṁ,0.4334862385321101,0.2947247706422018,0.13876146788990829
Kamās,0.49728260869565216,0.3736413043478261,0.12364130434782605
Rītigauḷa,0.1977077363896848,0.10315186246418338,0.09455587392550142
Bhairavi,0.44956413449564137,0.38418430884184307,0.0653798256537983
Tōḍi,0.43254198031268093,0.36942675159235666,0.06311522872032427
Kalyāṇi,0.13157894736842105,0.08502024291497975,0.04655870445344129
Behāg,0.3771186440677966,0.3389830508474576,0.03813559322033899
Ṣanmukhapriya,0.432449105490438,0.40777297964219616,0.02467612584824186
Harikāmbhōji,0.18818040435458788,0.18973561430793157,-0.0015552099533436836
Sāvēri,0.6492985971943888,0.7474949899799599,-0.09819639278557113
